hour_of_day,avg_temp
0,27.18425
1,23.903414634146344
2,25.35904761904762
3,25.189249999999998
4,24.160526315789472
5,24.439555555555554
6,24.925142857142855
7,24.564897959183675
8,24.273589743589746
9,24.35868421052632
10,25.065813953488377
11,25.53770833333333
12,25.087692307692304
13,25.536250000000003
14,25.67088235294118
15,25.772884615384616
16,24.817800000000002
17,25.8275
18,25.330499999999994
19,25.815454545454546
20,23.96538461538461
21,24.566041666666667
22,23.658285714285718
23,24.7566
